HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Age_group,Cabin_Deck,Cabin_Number,Cabin_Side,Group,alone,Expenditure,spending
1,0,2,39.0,0,0.0,0.0,0.0,0.0,0.0,0,4,1,0,0,1,1,0.0,0
0,0,2,24.0,0,4.700480365792417,2.302585092994046,3.258096538021482,6.309918278226516,3.8066624897703196,1,2,5,0,1,2,1,736.0,1
1,0,2,58.0,1,3.784189633918261,8.182279739259018,0.0,8.812248018197431,3.912023005428146,0,5,0,0,1,3,0,10383.0,1
1,0,2,33.0,0,0.0,7.157735484249907,5.918893854273146,8.110727582974489,5.267858159063328,0,4,0,0,1,3,0,5176.0,1
0,0,2,16.0,0,5.717027701406222,4.2626798770413155,5.0238805208462765,6.338594078203183,1.0986122886681098,1,1,5,1,1,4,1,1091.0,1
0,0,1,44.0,0,0.0,6.182084906716632,0.0,5.676753802268282,0.0,1,4,5,0,0,5,1,774.0,1
0,0,2,26.0,0,3.7612001156935624,7.3395376954076745,1.3862943611198906,0.0,0.0,1,3,5,2,1,6,0,1584.0,1
0,1,2,28.0,0,0.0,0.0,0.0,0.0,0.0,1,3,6,0,1,6,0,0.0,0
0,0,2,35.0,0,0.0,6.666956792429207,2.8903717578961645,5.37989735354046,0.0,1,4,5,3,1,7,1,1018.0,1
1,1,0,14.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,8,0,0.0,0
1,1,2,34.0,0,0.0,0.0,0.0,0.0,0.0,1,4,1,1,0,8,0,0.0,0
1,0,0,45.0,0,3.6888794541139363,8.895081531754167,6.380122536899765,4.709530201312334,4.8283137373023015,1,4,1,1,0,8,0,8157.0,1
2,0,2,32.0,0,4.30406509320417,0.0,7.024649030453636,0.0,4.736198448394496,1,4,5,1,0,9,1,1309.0,1
0,0,2,48.0,0,6.579251212010101,0.6931471805599453,4.189654742026425,0.0,3.2188758248682006,0,4,6,1,1,10,1,809.0,1
0,0,2,28.0,0,2.1972245773362196,6.882437470997847,2.5649493574615367,1.0986122886681098,2.0794415416798357,1,3,5,2,0,11,1,1003.0,1
0,0,2,31.0,0,3.4965075614664802,0.0,6.776506992372183,0.0,0.0,0,4,1,1053,1,12,1,908.0,1
2,0,0,27.0,0,7.160069207596127,4.812184355372417,5.72342537618889,0.0,0.0,0,3,5,3,0,14,1,1712.951127819549,1
0,0,0,24.0,0,0.0,0.6931471805599453,0.0,0.0,6.45833828334479,0,2,5,4,0,15,1,638.0,1
2,1,2,45.0,0,0.0,0.0,0.0,0.0,0.0,1,4,5,5,0,16,1,0.0,0
0,0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,6,0,0,17,0,0.0,0
0,0,0,14.0,0,6.023447592961033,0.0,0.6931471805599453,0.0,6.522092798170152,0,1,5,6,0,17,0,1092.0,1
0,1,2,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,1,20,0,0.0,0
